"id","usagecounter","appver","datecreated"
123490459,0,"0.0.0","2024-06-17 23:45:50"
123490458,0,"0.0.0","2024-06-17 19:05:15"
123490457,0,"0.0.0","2024-06-17 18:14:52"
123490456,0,"0.0.0","2024-06-17 15:00:01"
123490455,0,"0.0.0","2024-06-17 13:27:54"
123490454,3,"0.0.0","2024-06-17 02:29:01"
123490453,0,"0.0.0","2024-06-17 00:26:43"
123490452,0,"0.0.0","2024-06-16 20:36:58"
123490451,0,"0.0.0","2024-06-16 15:35:09"
123490450,0,"0.0.0","2024-06-16 15:33:47"
123490449,0,"0.0.0","2024-06-16 13:10:27"
123490448,0,"0.0.0","2024-06-16 08:18:12"
123490447,0,"0.0.0","2024-06-16 07:47:54"
123490446,0,"0.0.0","2024-06-16 05:37:25"
123490445,0,"0.0.0","2024-06-16 04:50:50"
123490444,0,"0.0.0","2024-06-16 03:15:01"
123490443,0,"0.0.0","2024-06-16 02:57:07"
123490442,2,"0.0.0","2024-06-16 00:58:58"
123490441,0,"0.0.0","2024-06-16 00:12:37"
123490440,0,"0.0.0","2024-06-15 22:48:29"
123490439,0,"0.0.0","2024-06-15 21:05:22"
123490438,1,"0.0.0","2024-06-15 20:19:09"
123490437,0,"0.0.0","2024-06-15 19:44:39"
123490436,0,"0.0.0","2024-06-15 19:14:05"
123490435,0,"0.0.0","2024-06-15 19:02:31"
123490434,14,"0.0.0","2024-06-15 19:01:30"
123490433,1,"0.0.0","2024-06-15 19:00:11"
123490432,0,"0.0.0","2024-06-15 18:53:21"
123490431,0,"0.0.0","2024-06-15 18:50:33"
123490430,0,"0.0.0","2024-06-15 18:47:47"
123490429,0,"0.0.0","2024-06-15 18:38:57"
123490428,0,"0.0.0","2024-06-15 18:36:18"
123490427,0,"0.0.0","2024-06-15 18:35:48"
123490426,1,"0.0.0","2024-06-15 18:33:50"
123490425,0,"0.0.0","2024-06-15 18:30:30"
123490424,0,"0.0.0","2024-06-15 18:23:40"
123490423,0,"0.0.0","2024-06-15 18:17:00"
123490422,0,"0.0.0","2024-06-15 18:09:17"
123490421,0,"0.0.0","2024-06-15 18:04:47"
123490420,1,"0.0.0","2024-06-15 18:02:26"
123490419,1,"0.0.0","2024-06-15 17:57:41"
123490418,0,"0.0.0","2024-06-15 17:54:09"
123490417,0,"0.0.0","2024-06-15 17:49:11"
123490416,0,"0.0.0","2024-06-15 17:46:45"
123490415,0,"0.0.0","2024-06-15 17:42:28"
123490414,0,"0.0.0","2024-06-15 17:37:52"
123490413,1,"0.0.0","2024-06-15 17:12:38"
123490412,0,"0.0.0","2024-06-15 17:09:02"
123490411,3,"0.0.0","2024-06-15 17:08:43"
123490410,0,"0.0.0","2024-06-15 17:07:27"
123490409,0,"0.0.0","2024-06-15 16:05:02"
123490408,0,"0.0.0","2024-06-15 15:51:04"
123490407,0,"0.0.0","2024-06-15 15:43:41"
123490406,0,"0.0.0","2024-06-15 15:43:15"
123490405,0,"0.0.0","2024-06-15 15:40:36"
123490404,5,"0.0.0","2024-06-15 15:23:53"
123490403,0,"0.0.0","2024-06-15 15:16:02"
123490402,0,"0.0.0","2024-06-15 15:04:09"
123490401,0,"0.0.0","2024-06-15 15:00:19"
123490400,2,"0.0.0","2024-06-15 14:50:51"
123490399,1,"0.0.0","2024-06-15 14:49:02"
123490398,0,"0.0.0","2024-06-15 14:26:55"
123490397,0,"0.0.0","2024-06-15 14:20:02"
123490396,1,"0.0.0","2024-06-15 14:14:13"
123490395,0,"0.0.0","2024-06-15 14:10:57"
123490394,0,"0.0.0","2024-06-15 14:05:05"
123490393,0,"0.0.0","2024-06-15 13:53:12"
123490392,0,"0.0.0","2024-06-15 13:50:13"
123490391,4,"0.0.0","2024-06-15 13:38:53"
123490390,0,"0.0.0","2024-06-15 13:38:00"
123490389,0,"0.0.0","2024-06-15 13:31:43"
123490388,0,"0.0.0","2024-06-15 13:26:51"
123490387,0,"0.0.0","2024-06-15 13:19:51"
123490386,0,"0.0.0","2024-06-15 12:19:53"
123490385,1,"0.0.0","2024-06-15 12:14:16"
123490384,0,"0.0.0","2024-06-15 11:51:20"
123490383,0,"0.0.0","2024-06-15 11:45:49"
123490382,0,"0.0.0","2024-06-15 11:38:26"
123490381,0,"0.0.0","2024-06-15 11:36:06"
123490380,4,"0.0.0","2024-06-15 11:20:46"
123490379,1,"0.0.0","2024-06-15 10:49:27"
123490378,0,"0.0.0","2024-06-15 10:44:00"
123490377,1,"0.0.0","2024-06-15 10:22:50"
123490376,0,"0.0.0","2024-06-15 10:06:27"
123490375,0,"0.0.0","2024-06-15 08:42:06"
123490374,0,"0.0.0","2024-06-15 05:50:10"
123490373,0,"0.0.0","2024-06-15 04:51:04"
123490372,1,"0.0.0","2024-06-15 04:48:46"
123490371,1,"0.0.0","2024-06-15 04:21:59"
123490370,0,"0.0.0","2024-06-15 04:20:56"
123490369,0,"0.0.0","2024-06-15 03:34:50"
123490368,2,"0.0.0","2024-06-15 00:29:50"
123490367,2,"0.0.0","2024-06-14 22:59:08"
123490366,0,"0.0.0","2024-06-14 22:49:32"
123490365,0,"0.0.0","2024-06-14 22:30:58"
123490364,0,"0.0.0","2024-06-14 22:24:32"
123490363,4,"0.0.0","2024-06-14 21:30:00"
123490362,0,"0.0.0","2024-06-14 21:24:48"
123490361,0,"0.0.0","2024-06-14 21:18:31"
123490360,1,"0.0.0","2024-06-14 19:36:56"
123490359,0,"0.0.0","2024-06-14 19:08:43"
123490358,1,"0.0.0","2024-06-14 19:05:31"
123490357,0,"0.0.0","2024-06-14 18:20:54"
123490356,4,"0.0.0","2024-06-14 15:57:22"
123490355,0,"0.0.0","2024-06-14 15:17:30"
123490354,0,"0.0.0","2024-06-14 13:42:39"
123490353,0,"0.0.0","2024-06-14 13:34:03"
123490352,1,"0.0.0","2024-06-14 13:06:25"
123490351,0,"0.0.0","2024-06-14 12:51:19"
123490350,0,"0.0.0","2024-06-14 12:43:39"
123490349,0,"0.0.0","2024-06-14 12:34:36"
123490348,1,"0.0.0","2024-06-14 11:01:41"
123490347,0,"0.0.0","2024-06-14 09:20:53"
123490346,2,"0.0.0","2024-06-14 08:56:18"
123490345,0,"0.0.0","2024-06-14 02:46:05"
123490344,0,"0.0.0","2024-06-14 01:39:46"
123490343,2,"0.0.0","2024-06-13 22:54:33"
123490342,0,"0.0.0","2024-06-13 21:06:31"
123490341,0,"0.0.0","2024-06-13 20:13:25"
123490340,0,"0.0.0","2024-06-13 19:59:04"
123490339,0,"0.0.0","2024-06-13 18:58:17"
123490338,0,"0.0.0","2024-06-13 18:43:33"
123490337,0,"0.0.0","2024-06-13 17:50:03"
123490336,0,"0.0.0","2024-06-13 16:51:26"
123490335,0,"0.0.0","2024-06-13 15:51:55"
123490334,0,"0.0.0","2024-06-13 15:16:07"
123490333,0,"0.0.0","2024-06-13 15:02:06"
123490332,0,"0.0.0","2024-06-13 14:36:33"
123490331,0,"0.0.0","2024-06-13 13:58:28"
123490330,0,"0.0.0","2024-06-13 12:33:33"
123490329,3,"0.0.0","2024-06-13 11:30:15"
123490328,0,"0.0.0","2024-06-13 10:53:23"
123490327,0,"0.0.0","2024-06-13 10:08:36"
123490326,0,"0.0.0","2024-06-13 08:35:23"
123490325,0,"0.0.0","2024-06-13 07:12:50"
123490324,0,"0.0.0","2024-06-13 06:39:39"
123490323,1,"0.0.0","2024-06-13 01:38:10"
123490322,0,"0.0.0","2024-06-13 01:16:54"
123490321,0,"0.0.0","2024-06-12 22:49:42"
123490320,0,"0.0.0","2024-06-12 21:29:32"
123490319,1,"0.0.0","2024-06-12 20:41:26"
123490318,0,"0.0.0","2024-06-12 20:19:54"
123490317,0,"0.0.0","2024-06-12 19:35:52"
123490315,1,"0.0.0","2024-06-12 16:09:47"
123490314,0,"0.0.0","2024-06-12 15:40:41"
123490313,0,"0.0.0","2024-06-12 13:33:49"
123490312,0,"0.0.0","2024-06-12 13:17:02"
123490311,2,"0.0.0","2024-06-12 11:44:53"
123490310,1,"0.0.0","2024-06-12 08:30:43"
123490309,0,"0.0.0","2024-06-12 07:38:00"
123490308,1,"0.0.0","2024-06-12 01:12:29"
123490307,0,"0.0.0","2024-06-12 01:11:14"
123490306,1,"0.0.0","2024-06-12 00:41:55"
123490305,0,"0.0.0","2024-06-11 23:01:34"
123490304,0,"0.0.0","2024-06-11 20:57:07"
123490303,0,"0.0.0","2024-06-11 20:47:39"
123490302,1,"0.0.0","2024-06-11 20:22:16"
123490301,1,"0.0.0","2024-06-11 18:44:38"
123490300,1,"0.0.0","2024-06-11 17:44:54"
123490299,0,"0.0.0","2024-06-11 15:28:41"
123490298,0,"0.0.0","2024-06-11 14:28:43"
123490297,0,"0.0.0","2024-06-11 14:11:53"
123490296,1,"0.0.0","2024-06-11 11:55:59"
123490295,2,"0.0.0","2024-06-11 10:53:44"
123490294,0,"0.0.0","2024-06-11 09:12:36"
123490293,0,"0.0.0","2024-06-11 03:56:55"
123490292,2,"0.0.0","2024-06-10 23:36:00"
123490291,2,"0.0.0","2024-06-10 21:53:56"
123490290,3,"0.0.0","2024-06-10 21:29:27"
123490289,0,"0.0.0","2024-06-10 19:25:19"
123490288,0,"0.0.0","2024-06-10 17:32:41"
123490287,0,"0.0.0","2024-06-10 14:22:53"
123490286,0,"0.0.0","2024-06-10 14:19:27"
123490285,1,"0.0.0","2024-06-10 14:16:22"
123490284,0,"0.0.0","2024-06-10 13:11:52"
123490283,0,"0.0.0","2024-06-10 12:01:09"
123490282,0,"0.0.0","2024-06-10 11:48:35"
123490281,2,"0.0.0","2024-06-10 07:01:48"
123490280,0,"0.0.0","2024-06-09 23:42:46"
123490279,1,"0.0.0","2024-06-09 23:17:14"
123490278,3,"0.0.0","2024-06-09 22:52:01"
123490277,1,"0.0.0","2024-06-09 22:49:07"
123490276,2,"0.0.0","2024-06-09 17:57:36"
123490275,2,"0.0.0","2024-06-09 17:37:32"
123490274,0,"0.0.0","2024-06-09 16:45:54"
123490273,1,"0.0.0","2024-06-09 16:00:21"
123490272,1,"0.0.0","2024-06-09 15:49:44"
123490271,0,"0.0.0","2024-06-09 15:33:31"
123490270,0,"0.0.0","2024-06-09 15:31:39"
123490269,0,"0.0.0","2024-06-09 14:43:42"
123490268,1,"0.0.0","2024-06-09 14:26:28"
123490267,2,"0.0.0","2024-06-09 14:04:27"
123490266,1,"0.0.0","2024-06-09 13:20:37"
123490265,8,"0.0.0","2024-06-09 13:19:47"
123490264,1,"0.0.0","2024-06-09 12:31:54"
123490263,1,"0.0.0","2024-06-09 09:04:21"
123490262,29,"0.0.0","2024-06-09 08:02:33"
123490261,1,"0.0.0","2024-06-09 02:11:38"
123490260,2,"0.0.0","2024-06-09 02:06:28"
123490259,0,"0.0.0","2024-06-09 01:44:13"
123490258,1,"0.0.0","2024-06-08 23:58:15"
123490257,1,"0.0.0","2024-06-08 23:55:38"
123490256,0,"0.0.0","2024-06-08 23:29:02"
123490255,2,"0.0.0","2024-06-08 22:42:15"
123490254,0,"0.0.0","2024-06-08 21:14:09"
123490253,0,"0.0.0","2024-06-08 17:57:15"
123490252,0,"0.0.0","2024-06-08 17:48:46"
123490251,5,"0.0.0","2024-06-08 16:42:15"
123490250,0,"0.0.0","2024-06-08 15:59:50"
123490249,0,"0.0.0","2024-06-08 15:41:56"
123490248,4,"0.0.0","2024-06-08 13:30:47"
123490247,0,"0.0.0","2024-06-08 13:19:36"
123490246,1,"0.0.0","2024-06-08 04:53:59"
123490245,0,"0.0.0","2024-06-08 03:43:19"
123490244,0,"0.0.0","2024-06-08 02:47:35"
123490243,0,"0.0.0","2024-06-08 02:34:46"
123490242,1,"0.0.0","2024-06-07 22:28:16"
123490241,0,"0.0.0","2024-06-07 21:13:09"
123490240,0,"0.0.0","2024-06-07 20:38:12"
123490239,0,"0.0.0","2024-06-07 20:08:02"
123490238,0,"0.0.0","2024-06-07 19:09:08"
123490237,2,"0.0.0","2024-06-07 18:42:45"
123490236,0,"0.0.0","2024-06-07 17:46:17"
123490235,2,"0.0.0","2024-06-07 17:30:45"
123490234,0,"0.0.0","2024-06-07 14:33:16"
123490233,0,"0.0.0","2024-06-07 14:27:13"
123490232,0,"0.0.0","2024-06-07 10:30:56"
123490231,0,"0.0.0","2024-06-06 22:46:03"
123490230,0,"0.0.0","2024-06-06 21:49:16"
123490229,1,"0.0.0","2024-06-06 21:33:48"
123490228,1,"0.0.0","2024-06-06 16:28:47"
123490227,0,"0.0.0","2024-06-06 16:12:30"
123490226,3,"0.0.0","2024-06-06 13:00:11"
123490225,0,"0.0.0","2024-06-06 12:41:21"
123490224,0,"0.0.0","2024-06-06 12:20:58"
123490223,0,"0.0.0","2024-06-06 11:31:09"
123490222,0,"0.0.0","2024-06-06 09:45:36"
123490221,0,"0.0.0","2024-06-06 08:29:35"
123490220,0,"0.0.0","2024-06-06 04:23:45"
123490219,0,"0.0.0","2024-06-05 14:29:49"
123490218,0,"0.0.0","2024-06-05 13:44:27"
123490217,0,"0.0.0","2024-06-05 11:15:12"
123490216,21,"0.0.0","2024-06-05 10:10:08"
123490215,0,"0.0.0","2024-06-05 09:37:30"
123490214,0,"0.0.0","2024-06-05 07:59:38"
123490213,0,"0.0.0","2024-06-05 07:59:18"
123490212,0,"0.0.0","2024-06-05 04:14:44"
123490211,0,"0.0.0","2024-06-05 02:48:18"
123490210,0,"0.0.0","2024-06-05 02:48:13"
123490209,0,"0.0.0","2024-06-04 22:51:12"
123490208,1,"0.0.0","2024-06-04 20:58:12"
123490207,0,"0.0.0","2024-06-04 20:10:55"
123490206,0,"0.0.0","2024-06-04 20:05:43"
123490204,0,"0.0.0","2024-06-04 17:14:29"
123490203,0,"0.0.0","2024-06-04 16:35:44"
123490202,0,"0.0.0","2024-06-04 16:11:04"
123490201,1,"0.0.0","2024-06-04 16:03:20"
123490200,0,"0.0.0","2024-06-04 15:53:11"
123490199,0,"0.0.0","2024-06-04 13:31:47"
123490198,0,"0.0.0","2024-06-04 11:49:58"
123490197,0,"0.0.0","2024-06-04 08:16:43"
123490196,0,"0.0.0","2024-06-04 07:56:17"
123490195,2,"0.0.0","2024-06-03 22:46:34"
123490194,1,"0.0.0","2024-06-03 17:43:48"
123490193,0,"0.0.0","2024-06-03 15:55:52"
123490192,2,"0.0.0","2024-06-03 15:52:34"
123490191,0,"0.0.0","2024-06-03 15:21:29"
123490190,0,"0.0.0","2024-06-03 14:37:43"
123490189,0,"0.0.0","2024-06-03 14:20:46"
123490188,0,"0.0.0","2024-06-03 11:55:22"
123490187,0,"0.0.0","2024-06-03 10:32:12"
123490186,4,"0.0.0","2024-06-02 21:42:29"
123490185,1,"0.0.0","2024-06-02 19:40:26"
123490184,0,"0.0.0","2024-06-02 18:54:24"
123490183,0,"0.0.0","2024-06-02 16:16:09"
123490182,4,"0.0.0","2024-06-02 14:21:04"
123490181,0,"0.0.0","2024-06-02 14:17:13"
123490180,0,"0.0.0","2024-06-02 12:25:17"
123490179,0,"0.0.0","2024-06-02 12:23:40"
123490178,1,"0.0.0","2024-06-02 12:23:32"
123490177,9,"0.0.0","2024-06-02 09:57:26"
123490176,1,"0.0.0","2024-06-02 05:27:00"
123490175,1,"0.0.0","2024-06-01 22:23:33"
123490174,0,"0.0.0","2024-06-01 18:39:43"
123490173,0,"0.0.0","2024-06-01 12:45:49"
123490172,1,"0.0.0","2024-06-01 12:40:55"
123490171,0,"0.0.0","2024-06-01 10:11:49"
123490170,3,"0.0.0","2024-06-01 07:31:55"
123490169,1,"0.0.0","2024-06-01 05:31:48"
123490168,0,"0.0.0","2024-06-01 02:49:28"
123490167,0,"0.0.0","2024-06-01 00:56:40"
123490166,2,"0.0.0","2024-06-01 00:25:23"
123490165,0,"0.0.0","2024-05-31 23:07:14"
123490164,2,"0.0.0","2024-05-31 21:05:28"
123490163,0,"0.0.0","2024-05-31 20:39:07"
123490162,1,"0.0.0","2024-05-31 20:31:57"
123490161,2,"0.0.0","2024-05-31 18:40:28"
123490160,0,"0.0.0","2024-05-31 18:33:55"
123490159,0,"0.0.0","2024-05-31 17:47:17"
123490158,0,"0.0.0","2024-05-31 17:09:44"
123490157,0,"0.0.0","2024-05-31 15:00:48"
123490156,1,"0.0.0","2024-05-31 13:49:57"
123490155,4,"0.0.0","2024-05-31 11:22:49"
123490154,1,"0.0.0","2024-05-31 11:06:07"
123490153,1,"0.0.0","2024-05-31 10:14:29"
123490152,0,"0.0.0","2024-05-31 08:34:20"
123490151,2,"0.0.0","2024-05-31 04:25:53"
123490150,1,"0.0.0","2024-05-31 01:20:00"
123490149,0,"0.0.0","2024-05-31 01:06:40"
123490148,1,"0.0.0","2024-05-30 23:34:08"
123490147,0,"0.0.0","2024-05-30 21:38:03"
123490146,0,"0.0.0","2024-05-30 19:14:51"
123490145,0,"0.0.0","2024-05-30 18:53:03"
123490144,1,"0.0.0","2024-05-30 16:35:37"
123490143,1,"0.0.0","2024-05-30 16:06:56"
123490142,9,"0.0.0","2024-05-30 15:41:42"
123490141,0,"0.0.0","2024-05-30 12:44:49"
123490140,0,"0.0.0","2024-05-30 10:27:50"
123490139,0,"0.0.0","2024-05-30 08:34:35"
123490138,0,"0.0.0","2024-05-30 06:05:59"
123490137,0,"0.0.0","2024-05-30 00:28:09"
123490136,0,"0.0.0","2024-05-29 23:30:24"
123490135,0,"0.0.0","2024-05-29 21:35:08"
123490134,0,"0.0.0","2024-05-29 16:18:42"
123490133,3,"0.0.0","2024-05-29 15:11:03"
123490132,0,"0.0.0","2024-05-29 13:27:40"
123490131,2,"0.0.0","2024-05-29 13:24:08"
123490130,0,"0.0.0","2024-05-29 10:52:59"
123490129,0,"0.0.0","2024-05-29 06:48:52"
123490128,1,"0.0.0","2024-05-29 01:49:12"
123490127,0,"0.0.0","2024-05-28 22:52:28"
123490126,0,"0.0.0","2024-05-28 16:58:33"
123490125,0,"0.0.0","2024-05-28 15:58:40"
123490124,0,"0.0.0","2024-05-28 11:45:20"
123490123,2,"0.0.0","2024-05-28 11:13:30"
123490122,3,"0.0.0","2024-05-28 09:32:45"
123490121,0,"0.0.0","2024-05-28 06:23:57"
123490120,0,"0.0.0","2024-05-28 01:13:35"
123490119,0,"0.0.0","2024-05-27 23:36:49"
123490118,0,"0.0.0","2024-05-27 23:26:59"
123490117,0,"0.0.0","2024-05-27 23:06:11"
123490116,0,"0.0.0","2024-05-27 21:58:30"
123490115,0,"0.0.0","2024-05-27 21:14:35"
123490114,1,"0.0.0","2024-05-27 14:59:42"
123490113,0,"0.0.0","2024-05-27 14:48:54"
123490112,2,"0.0.0","2024-05-27 12:49:26"
123490111,0,"0.0.0","2024-05-27 12:19:24"
123490110,2,"0.0.0","2024-05-27 10:52:16"
123490109,0,"0.0.0","2024-05-27 09:43:35"
123490108,1,"0.0.0","2024-05-27 08:31:09"
123490107,2,"0.0.0","2024-05-27 04:22:54"
123490106,0,"0.0.0","2024-05-27 00:31:41"
123490105,0,"0.0.0","2024-05-26 20:45:28"
123490104,1,"0.0.0","2024-05-26 19:02:46"
123490103,0,"0.0.0","2024-05-26 15:12:03"
123490102,1,"0.0.0","2024-05-26 12:09:38"
123490101,1,"0.0.0","2024-05-26 07:14:51"
123490100,0,"0.0.0","2024-05-26 03:32:40"
123490099,0,"0.0.0","2024-05-25 13:45:29"
123490098,1,"0.0.0","2024-05-25 10:34:25"
123490097,0,"0.0.0","2024-05-25 05:27:59"
123490096,2,"0.0.0","2024-05-25 00:32:18"
123490095,1,"0.0.0","2024-05-24 23:12:03"
123490094,2,"0.0.0","2024-05-24 21:00:23"
123490093,0,"0.0.0","2024-05-24 20:13:54"
123490092,0,"0.0.0","2024-05-24 18:51:27"
123490091,0,"0.0.0","2024-05-24 16:32:52"
123490090,0,"0.0.0","2024-05-24 15:28:43"
123490089,4,"0.0.0","2024-05-24 14:52:27"
123490088,0,"0.0.0","2024-05-24 14:14:11"
123490087,2,"0.0.0","2024-05-24 13:46:58"
123490086,0,"0.0.0","2024-05-24 13:41:58"
123490085,0,"0.0.0","2024-05-24 13:16:00"
123490084,0,"0.0.0","2024-05-24 13:14:23"
123490083,0,"0.0.0","2024-05-24 12:38:38"
123490082,1,"0.0.0","2024-05-24 02:08:36"
123490081,0,"0.0.0","2024-05-23 19:38:47"
123490080,1,"0.0.0","2024-05-23 19:10:28"
123490079,0,"0.0.0","2024-05-23 17:32:23"
123490078,1,"0.0.0","2024-05-23 15:45:40"
123490077,2,"0.0.0","2024-05-23 14:39:16"
123490076,2,"0.0.0","2024-05-23 13:21:56"
123490075,0,"0.0.0","2024-05-23 13:00:48"
123490074,1,"0.0.0","2024-05-23 10:39:08"
123490073,1,"0.0.0","2024-05-23 09:35:06"
123490072,1,"0.0.0","2024-05-23 02:39:03"
123490071,0,"0.0.0","2024-05-23 00:21:06"
123490070,0,"0.0.0","2024-05-22 22:21:32"
123490069,0,"0.0.0","2024-05-22 18:19:06"
123490067,5,"0.0.0","2024-05-22 17:20:10"
123490066,5,"0.0.0","2024-05-22 16:17:27"
123490065,0,"0.0.0","2024-05-22 15:36:25"
123490064,0,"0.0.0","2024-05-22 13:10:57"
123490063,1,"0.0.0","2024-05-22 06:39:14"
123490062,1,"0.0.0","2024-05-21 23:24:21"
123490061,4,"0.0.0","2024-05-21 22:17:50"
123490060,1,"0.0.0","2024-05-21 20:35:56"
123490059,0,"0.0.0","2024-05-21 20:35:38"
123490058,1,"0.0.0","2024-05-21 13:12:57"
123490057,2,"0.0.0","2024-05-21 11:19:29"
123490056,2,"0.0.0","2024-05-21 11:06:56"
123490055,0,"0.0.0","2024-05-21 10:52:12"
123490054,0,"0.0.0","2024-05-21 08:59:58"
123490053,0,"0.0.0","2024-05-21 08:14:21"
123490052,0,"0.0.0","2024-05-21 08:09:39"
123490051,0,"0.0.0","2024-05-21 01:36:50"
123490050,0,"0.0.0","2024-05-20 21:49:53"
123490049,1,"0.0.0","2024-05-20 21:43:02"
123490048,0,"0.0.0","2024-05-20 16:47:43"
123490045,2,"0.0.0","2024-05-20 13:03:46"
123490044,0,"0.0.0","2024-05-20 12:26:21"
123490042,0,"0.0.0","2024-05-19 18:14:15"
123490041,0,"0.0.0","2024-05-19 17:56:03"
123490040,0,"0.0.0","2024-05-19 17:19:30"
123490039,0,"0.0.0","2024-05-19 16:58:58"
123490038,0,"0.0.0","2024-05-19 16:29:59"
123490037,0,"0.0.0","2024-05-19 16:14:08"
123490036,0,"0.0.0","2024-05-19 15:18:08"
123490035,0,"0.0.0","2024-05-19 13:18:07"
123490034,4,"0.0.0","2024-05-19 11:34:21"
123490033,0,"0.0.0","2024-05-19 10:50:09"
123490032,3,"0.0.0","2024-05-19 10:34:44"
123490031,0,"0.0.0","2024-05-18 22:18:51"
123490030,1,"0.0.0","2024-05-18 18:58:11"
123490029,1,"0.0.0","2024-05-18 16:17:36"
123490028,1,"0.0.0","2024-05-18 15:52:44"
123490027,0,"0.0.0","2024-05-18 13:42:38"
123490026,0,"0.0.0","2024-05-18 13:19:11"
123490025,0,"0.0.0","2024-05-18 09:15:59"
123490024,1,"0.0.0","2024-05-18 06:09:13"
123490023,1,"0.0.0","2024-05-18 05:33:24"
123490022,1,"0.0.0","2024-05-18 05:32:45"
123490021,1,"0.0.0","2024-05-18 05:32:40"
123490020,3,"0.0.0","2024-05-17 22:13:13"
123490019,2,"0.0.0","2024-05-17 22:10:30"
123490018,0,"0.0.0","2024-05-17 21:51:56"
123490017,1,"0.0.0","2024-05-17 18:25:36"
123490016,0,"0.0.0","2024-05-17 18:21:51"
123490015,0,"0.0.0","2024-05-17 12:53:43"
123490014,3,"0.0.0","2024-05-17 11:13:53"
123490013,0,"0.0.0","2024-05-17 11:02:15"
123490012,2,"0.0.0","2024-05-17 10:51:55"
123490011,1,"0.0.0","2024-05-17 09:21:49"
123490010,0,"0.0.0","2024-05-17 08:37:57"
123490009,0,"0.0.0","2024-05-17 08:07:01"
123490008,0,"0.0.0","2024-05-17 03:42:30"
123490007,0,"0.0.0","2024-05-17 02:31:10"
123490006,0,"0.0.0","2024-05-17 01:34:33"
123490005,0,"0.0.0","2024-05-16 17:44:19"
123490004,5,"0.0.0","2024-05-16 14:35:40"
123490003,0,"0.0.0","2024-05-16 14:20:09"
123490002,2,"0.0.0","2024-05-16 12:17:13"
123490001,1,"0.0.0","2024-05-16 11:44:54"
123490000,0,"0.0.0","2024-05-16 10:44:46"
123489999,2,"0.0.0","2024-05-16 08:32:37"
123489998,2,"0.0.0","2024-05-15 20:12:50"
123489997,1,"0.0.0","2024-05-15 17:20:25"
123489996,0,"0.0.0","2024-05-15 16:14:30"
123489995,0,"0.0.0","2024-05-15 13:11:33"
123489994,0,"0.0.0","2024-05-15 01:35:36"
123489993,0,"0.0.0","2024-05-14 22:05:36"
123489992,0,"0.0.0","2024-05-14 21:37:04"
